year,school,course_name,course_code,course_description,reference
2023,School of Engineering,Diploma in Mechanical Engineering,N41,"Diploma in Mechanical Engineering (N41) prepares students for industries like aerospace, marine, automotive, manufacturing and infrastructure. They will learn computer aided design, materials and manufacturing, automation, thermofluids and mechanics.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-mechanical-engineering
2023,School of Film & Media Studies,Common Media Programme,N14,"Common Media Programme (N14) provides a gateway into three diplomas in Singapore's original film and media school. Through the programme, students will be taught the media skills to set them on their way to becoming a multi-platform media practitioner. Students will take modules that will allow them to explore their interests in various media disciplines before ranking their choice of preferred film and media diplomas at the end of the first semester.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-film-media-studies/common-media-programme
2023,School of Film & Media Studies,"Diploma in Film, Sound & Video",N82,"Diploma in Film, Sound & Video (N82) provides a strong foundational education in the artistic and technical aspects of filmmaking. Through the course, students will acquire skills to help them embark on their  career in the film, television and media industry.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-film-media-studies/diploma-in-film-sound-video
2023,School of Film & Media Studies,Diploma in Mass Communication,N67,"Diploma in Mass Communication (N67) prepares students for a career in the media industry by offering a robust broad-based curriculum covering advertising, public relations, design, journalism, radio, TV, and social media.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-film-media-studies/diploma-in-mass-communication
2023,School of Film & Media Studies,Diploma in Media Post-Production,N13,"Diploma in Media Post-Production (N13) covers traditional film and television post-production skills like editing, color correction and 3D computer and motion graphics. It will also cover post-production for AR/VR, immersive media and live shows.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-film-media-studies/diploma-in-media-post-production
2023,School of Health Sciences,Diploma in Nursing,N69,"Diploma in Nursing (N69) course is accredited by the Singapore Nursing Board (SNB) and prepares you to become a versatile nurse equipped with critical thinking and problem-solving skills. You will acquire the necessary knowledge and skills from relevant modules like Integrated Nursing Sciences and hands-on Nursing Laboratory lessons to prepare you for your Clinical Practice attachments in hospitals, which takes place over your 3 years of study. Upon graduation, you will be eligible to apply for a license from SNB to practise as a Registered Nurse. You can also tap into a wide range of career opportunities in the healthcare industries, locally and overseas.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-health-sciences/diploma-in-nursing
2023,School of Health Sciences,Diploma in Optometry,N83,"Diploma in Optometry (N83) course is accredited by the Optometrists and Opticians Board, and trains you to become a professional optometrist capable of diagnosing eye disorders and prescribing optical treatments to meet the increasing demand of eye care services arising from the aging population and high myopia prevalence in Singapore. In Year 2, you will apply your knowledge and skills for Clinical Practice at NP?s Optometry centre where you will examine public patients under the supervision of Registered Optometrists from the Industry. You will also go for Internship where you will be placed at two different optometry-related workplaces to gain real-world work experiences.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-health-sciences/diploma-in-optometry
2023,School of Humanities & Social Sciences,Diploma in Arts Business Management,N91,Diploma in Arts Business Management (N91) develops arts and heritage managers with grounding in both arts and heritage management and business. Graduates will be equipped with the necessary skills needed to develop and manage arts and heritage enterprises.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-humanities-social-sciences/diploma-in-arts-business-management
2023,School of Humanities & Social Sciences,Diploma in Chinese Media & Communication,N88,"Diploma in Chinese Media & Communication (N88) is the only local programme that nurtures bilingual storytellers specialising in content production across media platforms, with sound understanding of the Chinese language and culture.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-humanities-social-sciences/diploma-in-chinese-media-communication
2023,School of Humanities & Social Sciences,Diploma in Chinese Studies,N70,"Diploma in Chinese Studies (N70) develops professionals who are proficient in Chinese language and culture, in two different areas - primary school teaching, or business. Graduates from the  course can work as Chinese primary school teachers, translators, heritage programme executives, or in organisations that deal with the Chinese markets.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-humanities-social-sciences/diploma-in-chinese-studies
2023,School of Humanities & Social Sciences,Diploma in Community Development,N11,"Diploma in Community Development (N11) aims to develop compassionate, enterprising, and reflective professionals with knowledge of the different segments of the community, and the principles of social innovation, psychology, and business management, to empower communities to effect change.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-humanities-social-sciences/diploma-in-community-development
2023,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,N96,"Diploma in Early Childhood Development & Education (N96), recognised by the Early Childhood Development Agency (ECDA), aims to equip students with the practical skillset and necessary knowledge to pursue a career in early childhood.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-humanities-social-sciences/diploma-in-early-childhood-development-education
2023,School of Humanities & Social Sciences,Diploma in Tamil Studies with Early Education,N95,Diploma in Tamil Studies with Early Education (N95) is the first and only such diploma course in Singapore which is also recognised by the Early Childhood Development Agency (ECDA). It provides students with the needed knowledge and skills to pursue a career as Tamil Language preschool teacher.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-humanities-social-sciences/diploma-in-tamil-studies-with-early-education
2023,School of InfoComm Technology,Common ICT Programme,N98,Common ICT Programme (N98) provides students more time to discover their interests by taking foundation modules introducing the 4 ICT-related diplomas they can choose at the end of their first semester.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/common-ict-programme
2023,School of InfoComm Technology,Diploma in Cybersecurity & Digital Forensics,N94,"Diploma in Cybersecurity & Digital Forensics (N94) equips students with skills in vulnerability assessment & penetration testing, cyber defence, digital forensics investigation, secure software development, as well as cyber governance, risk & data protection using state-of-the-art lab facilities, and industry recognized cybersecurity tools.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-cybersecurity-digital-forensic
2023,School of InfoComm Technology,Diploma in Data Science,N81,"Diploma in Data Science (N81) equips students with the foundational skills and knowledge of data science, focussing on core concepts in data analytics, data engineering, machine learning and intelligent enterprise systems. Students will also get the opportunity to work on industry-led data science capstone projects, where they will experience the implementation of a real-life data science solution from start to the end.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-data-science
2023,School of InfoComm Technology,Diploma in Immersive Media,N55,"Diploma in Immersive Media (N55) is a practice-oriented course that equip you with the technical and creative skills needed for the cutting-edge field of immersive media, and learn how to bridge design and technology with user experience and user interface (UX/UI) design. You will receive rigorous training in design and programming, as well as gamification concepts and rules intended to produce an enjoyable game or extended reality experience (AR, VR & MR).",https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-immersive-media
2023,School of InfoComm Technology,Diploma in Information Technology,N54,"Diploma in Information Technology (N54) equips you with a strong technical foundation with good grounding in core IT knowledge and skills for work or further study.  You will have the opportunity to develop innovative IT solutions that increase business competitiveness and enhance quality of life, or even start your very own e-business.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-infocomm-technology/diploma-in-information-technology
2023,School of Life Sciences & Chemical Technology,Common Science Programme,N15,"Common Science Programme (N15) provides broad-based science foundation for students to choose either Biomedical Science or Pharmaceutical Science at end of the first semester. Students will gain insights into the two diplomas through Diploma Exposure Programme, which will further guide them in making informed choices.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-life-sciences-chemical-technology/common-science-programme
2023,School of Life Sciences & Chemical Technology,Diploma in Biomedical Science,N59,"Diploma in Biomedical Science (N59) offers a broad-based curriculum to provide students with the necessary skills and knowledge for employment in the biologics manufacturing, food manufacturing, research & development, healthcare, and analytical services industries, as well as develop communication, problem solving, critical analysis, and digital literacy skills to meet the needs of employers in these industries.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-life-sciences-chemical-technology/diploma-in-biomedical-science
2023,School of Life Sciences & Chemical Technology,Diploma in Chemical & Biomolecular Engineering,N56,Diploma in Chemical & Biomolecular Engineering (N56) equips students with the practical skillset and necessary knowledge for the operations of industrial chemical and biopharmaceutical processes.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-life-sciences-chemical-technology/diploma-in-chemical-biomolecular-engineering
2023,School of Life Sciences & Chemical Technology,Diploma in Environmental & Water Technology,N74,"Diploma in Environmental & Water Technology (N74) focuses on environmental science and technology to equip students with domain specific knowledge and skills in water, environment, sustainability and related industries.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-life-sciences-chemical-technology/diploma-in-environmental-water-technology
2023,School of Life Sciences & Chemical Technology,Diploma in Landscape Design & Horticulture,N57,"Diploma in Landscape Design & Horticulture (N57) provides broad based training in landscape design, plant sciences and horticulture management.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-life-sciences-chemical-technology/diploma-in-landscape-design-horticulture
2023,School of Life Sciences & Chemical Technology,Diploma in Pharmaceutical Science,N73,"Diploma in Pharmaceutical Science (N73) integrates Pharmacy Practice and Pharmaceutical Science Applications into one diploma. It allows students to discover about the forefront of drug discovery and development to the dispensing of medications for patients' health improvement.  Students will acquire knowledge and skills through practice-oriented training in clinical pharmacies and pharmaceutical companies, including workplace and contextualized on-the-job training.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-life-sciences-chemical-technology/diploma-in-pharmaceutical-science
